119,121,70
78,122,30
131,122,50
80,123,30
83,123,70
126,124,70
282,124,70
94,125,70
203,125,20
86,126,70
285,126,2.5
76,127,70
146,127,30
87,128,70
194,128,70
78,129,50
285,129,30
120,130,50
204,130,70
132,131,70
199,131,90
67,132,50
78,132,70
75,133,70
282,133,70
138,134,70
194,134,70
89,135,70
203,135,120
132,136,70
145,136,30
78,137,30
108,137,10
253,137,50
77,138,70
146,138,50
78,139,30
264,139,70
75,140,70
268,140,70
130,141,50
271,141,70
78,142,30
108,142,10
263,142,70
78,143,30
108,143,10
250,143,120
78,144,30
109,144,10
259,144,120
78,145,30
100,145,30
109,145,10
261,145,120
4,146,30
15,147,80
98,147,20
285,147,50
1,148,50
186,148,5
16,149,40
194,149,40
20,150,50
237,150,30
4,151,40
203,151,40
283,151,30
15,152,80
98,152,15
203,152,35
236,152,5
237,152,20
240,152,20
78,153,25
98,153,35
123,153,15
124,153,15
134,153,50
335,153,10
31,154,50
202,154,20
283,154,15
4,155,60
80,155,10
100,155,20
241,155,15
283,155,20
285,155,50
1,156,50
109,156,5
241,156,30
243,156,15
291,156,30
24,157,50
293,157,150
151,158,20
154,158,20
169,158,20
173,158,20
176,158,20
293,158,150
1,159,60
78,159,15
98,159,15
199,159,50
13,160,60
78,160,25
107,160,10
109,160,5
204,160,50
15,161,5
80,161,40
194,161,100
94,162,40
231,162,100
16,163,50
199,163,100
231,164,100
31,165,50
261,165,100
80,166,70
109,166,5
189,166,2.5
78,167,30
83,167,80
191,167,2.5
91,168,70
122,168,80
188,168,2.5
61,169,10
100,169,80
189,169,2.5
67,170,120
136,170,80
67,171,70
100,171,70
146,172,40
285,172,10
11,173,20
77,173,80
67,174,90
78,174,20
67,175,90
80,175,80
89,175,80
136,175,90
67,176,80
118,176,70
67,177,90
120,177,80
41,178,70
67,178,80
67,179,90
107,179,14
113,179,5
67,180,80
67,181,100
116,181,30
140,182,10
146,182,30
80,183,80
98,183,80
122,183,50
78,184,80
98,184,80
134,184,30
98,185,60
124,185,70
303,185,80
82,186,100
140,186,10
67,187,80
77,187,300
67,188,80
146,188,50
83,189,70
89,189,50
67,190,80
83,190,50
120,191,60
146,191,40
67,192,80
132,192,40
76,193,70
145,193,10
80,194,80
136,194,50
67,195,200
89,195,90
75,196,200
113,196,50
83,197,200
111,197,50
40,198,70
80,198,70
86,199,200
144,199,10
88,200,200
145,200,10
67,201,200
114,201,70
89,202,200
118,202,70
94,203,70
101,203,200
76,204,200
130,204,40
36,205,80
80,205,70
107,206,10
146,206,40
